"Context","T_val","avg"
"Non-Social",15,39.9863945578231
"Social",15,17.875
"Non-Social",30,52.578231292517
"Social",30,33.0694444444444
"Non-Social",55,73.2635135135135
"Social",55,58.3783783783784
"Non-Social",75,94.7876712328767
"Social",75,79.2808219178082
"Non-Social",105,121.691780821918
"Social",105,109.47972972973
