"Context","T_val","avg"
"Non-Social",30,98.7181208053691
"Social",30,80.9060402684564
"Non-Social",45,100.006756756757
"Social",45,90.0405405405405
"Non-Social",60,105.590604026846
"Social",60,99.8243243243243
"Non-Social",85,113.263513513514
"Social",85,109.591836734694
"Non-Social",100,125.707482993197
"Social",100,123.810810810811
