Subject,Story,Level,Context,Prediction,T_val
42,cake,4,Non-Social,50,50
42,cake,5,Non-Social,80,70
43,cake,1,Non-Social,30,10
43,cake,2,Non-Social,30,20
43,cake,3,Non-Social,60,35
43,cake,4,Non-Social,60,50
43,cake,5,Non-Social,90,70
44,cake,1,Non-Social,25,10
44,cake,2,Non-Social,25,20
44,cake,3,Non-Social,40,35
44,cake,4,Non-Social,60,50
44,cake,5,Non-Social,75,70
45,cake,1,Non-Social,10,10
45,cake,2,Non-Social,25,20
45,cake,3,Non-Social,40,35
45,cake,4,Non-Social,60,50
45,cake,5,Non-Social,80,70
46,cake,1,Non-Social,20,10
46,cake,2,Non-Social,30,20
46,cake,3,Non-Social,40,35
46,cake,4,Non-Social,50,50
46,cake,5,Non-Social,90,70
47,cake,1,Non-Social,15,10
47,cake,2,Non-Social,20,20
47,cake,3,Non-Social,40,35
47,cake,4,Non-Social,60,50
47,cake,5,Non-Social,80,70
48,cake,1,Non-Social,70,10
48,cake,2,Non-Social,70,20
48,cake,3,Non-Social,80,35
48,cake,4,Non-Social,100,50
48,cake,5,Non-Social,100,70
49,cake,1,Non-Social,18,10
49,cake,2,Non-Social,24,20
49,cake,3,Non-Social,38,35
49,cake,4,Non-Social,60,50
49,cake,5,Non-Social,90,70
50,cake,1,Non-Social,10,10
50,cake,2,Non-Social,21,20
50,cake,3,Non-Social,37,35
50,cake,4,Non-Social,50,50
50,cake,5,Non-Social,72,70
51,cake,1,Non-Social,60,10
51,cake,2,Non-Social,60,20
51,cake,3,Non-Social,60,35
51,cake,4,Non-Social,60,50
51,cake,5,Non-Social,75,70
52,cake,1,Non-Social,40,10
52,cake,2,Non-Social,40,20
52,cake,3,Non-Social,40,35
52,cake,4,Non-Social,60,50
52,cake,5,Non-Social,90,70
53,cake,1,Non-Social,20,10
53,cake,2,Non-Social,20,20
53,cake,3,Non-Social,40,35
53,cake,4,Non-Social,55,50
53,cake,5,Non-Social,80,70
54,cake,1,Non-Social,20,10
54,cake,2,Non-Social,25,20
54,cake,3,Non-Social,40,35
54,cake,4,Non-Social,60,50
54,cake,5,Non-Social,80,70
55,cake,1,Non-Social,10,10
55,cake,2,Non-Social,20,20
55,cake,3,Non-Social,35,35
55,cake,4,Non-Social,50,50
55,cake,5,Non-Social,70,70
56,cake,1,Non-Social,45,10
56,cake,2,Non-Social,45,20
56,cake,3,Non-Social,45,35
56,cake,4,Non-Social,60,50
56,cake,5,Non-Social,70,70
57,cake,1,Non-Social,20,10
57,cake,2,Non-Social,30,20
57,cake,3,Non-Social,35,35
57,cake,4,Non-Social,50,50
57,cake,5,Non-Social,70,70
58,cake,1,Non-Social,30,10
58,cake,2,Non-Social,35,20
58,cake,3,Non-Social,35,35
58,cake,4,Non-Social,60,50
58,cake,5,Non-Social,70,70
59,cake,1,Non-Social,30,10
59,cake,2,Non-Social,30,20
59,cake,3,Non-Social,60,35
59,cake,4,Non-Social,60,50
59,cake,5,Non-Social,90,70
60,cake,1,Non-Social,10,10
60,cake,2,Non-Social,20,20
60,cake,3,Non-Social,35,35
60,cake,4,Non-Social,50,50
60,cake,5,Non-Social,70,70
61,cake,1,Non-Social,10,10
61,cake,2,Non-Social,30,20
61,cake,3,Non-Social,45,35
61,cake,4,Non-Social,50,50
61,cake,5,Non-Social,70,70
62,cake,1,Non-Social,25,10
62,cake,2,Non-Social,25,20
62,cake,3,Non-Social,40,35
62,cake,4,Non-Social,60,50
62,cake,5,Non-Social,85,70
63,cake,1,Non-Social,23,10
63,cake,2,Non-Social,27,20
63,cake,3,Non-Social,42,35
63,cake,4,Non-Social,53,50
63,cake,5,Non-Social,90,70
64,cake,1,Non-Social,12,10
64,cake,2,Non-Social,30,20
64,cake,3,Non-Social,50,35
64,cake,4,Non-Social,60,50
64,cake,5,Non-Social,90,70
65,cake,1,Non-Social,25,10
65,cake,2,Non-Social,25,20
65,cake,3,Non-Social,40,35
65,cake,4,Non-Social,60,50
65,cake,5,Non-Social,75,70
66,cake,1,Non-Social,15,10
66,cake,2,Non-Social,20,20
66,cake,3,Non-Social,40,35
66,cake,4,Non-Social,51,50
66,cake,5,Non-Social,80,70
67,cake,1,Non-Social,45,10
67,cake,2,Non-Social,45,20
67,cake,3,Non-Social,45,35
67,cake,4,Non-Social,60,50
67,cake,5,Non-Social,90,70
68,cake,1,Non-Social,30,10
68,cake,2,Non-Social,30,20
68,cake,3,Non-Social,45,35
68,cake,4,Non-Social,60,50
68,cake,5,Non-Social,90,70
69,cake,1,Non-Social,60,10
69,cake,2,Non-Social,60,20
69,cake,3,Non-Social,60,35
69,cake,4,Non-Social,60,50
69,cake,5,Non-Social,80,70
70,cake,1,Non-Social,25,10
70,cake,2,Non-Social,30,20
70,cake,3,Non-Social,45,35
70,cake,4,Non-Social,60,50
70,cake,5,Non-Social,100,70
71,cake,1,Non-Social,30,10
71,cake,2,Non-Social,30,20
71,cake,3,Non-Social,40,35
71,cake,4,Non-Social,60,50
71,cake,5,Non-Social,90,70
72,cake,1,Non-Social,20,10
72,cake,2,Non-Social,30,20
72,cake,3,Non-Social,40,35
72,cake,4,Non-Social,60,50
72,cake,5,Non-Social,75,70
73,cake,1,Non-Social,30,10
73,cake,2,Non-Social,45,20
73,cake,3,Non-Social,45,35
73,cake,4,Non-Social,60,50
73,cake,5,Non-Social,90,70
74,cake,1,Non-Social,30,10
74,cake,2,Non-Social,30,20
74,cake,3,Non-Social,45,35
74,cake,4,Non-Social,60,50
74,cake,5,Non-Social,80,70
75,cake,1,Non-Social,10,10
75,cake,2,Non-Social,20,20
75,cake,3,Non-Social,35,35
75,cake,4,Non-Social,50,50
75,cake,5,Non-Social,70,70
76,cake,1,Non-Social,30,10
76,cake,2,Non-Social,30,20
76,cake,3,Non-Social,45,35
76,cake,4,Non-Social,60,50
76,cake,5,Non-Social,90,70
77,cake,1,Non-Social,30,10
77,cake,2,Non-Social,28,20
77,cake,3,Non-Social,40,35
77,cake,4,Non-Social,60,50
77,cake,5,Non-Social,85,70
78,cake,1,Non-Social,10,10
78,cake,2,Non-Social,20,20
78,cake,3,Non-Social,35,35
78,cake,4,Non-Social,50,50
78,cake,5,Non-Social,70,70
79,cake,1,Non-Social,120,10
79,cake,2,Non-Social,120,20
79,cake,3,Non-Social,120,35
79,cake,4,Non-Social,120,50
79,cake,5,Non-Social,120,70
80,cake,1,Non-Social,20,10
80,cake,2,Non-Social,30,20
80,cake,3,Non-Social,50,35
80,cake,4,Non-Social,60,50
80,cake,5,Non-Social,90,70
81,cake,1,Non-Social,30,10
81,cake,2,Non-Social,30,20
81,cake,3,Non-Social,50,35
81,cake,4,Non-Social,60,50
81,cake,5,Non-Social,120,70
82,cake,1,Non-Social,10,10
82,cake,2,Non-Social,25,20
82,cake,3,Non-Social,35,35
82,cake,4,Non-Social,60,50
82,cake,5,Non-Social,90,70
83,cake,1,Non-Social,30,10
83,cake,2,Non-Social,30,20
83,cake,3,Non-Social,40,35
83,cake,4,Non-Social,50,50
83,cake,5,Non-Social,75,70
84,cake,1,Non-Social,45,10
84,cake,2,Non-Social,45,20
84,cake,3,Non-Social,45,35
84,cake,4,Non-Social,60,50
84,cake,5,Non-Social,90,70
85,cake,1,Non-Social,20,10
85,cake,2,Non-Social,30,20
85,cake,3,Non-Social,45,35
85,cake,4,Non-Social,60,50
85,cake,5,Non-Social,90,70
86,cake,1,Non-Social,25,10
86,cake,2,Non-Social,45,20
86,cake,3,Non-Social,45,35
86,cake,4,Non-Social,60,50
86,cake,5,Non-Social,90,70
87,cake,1,Non-Social,30,10
87,cake,2,Non-Social,30,20
87,cake,3,Non-Social,40,35
87,cake,4,Non-Social,60,50
87,cake,5,Non-Social,90,70
88,cake,1,Non-Social,20,10
88,cake,2,Non-Social,20,20
88,cake,3,Non-Social,35,35
88,cake,4,Non-Social,50,50
88,cake,5,Non-Social,70,70
89,cake,1,Non-Social,10,10
89,cake,2,Non-Social,20,20
89,cake,3,Non-Social,35,35
89,cake,4,Non-Social,50,50
89,cake,5,Non-Social,70,70
90,cake,1,Non-Social,25,10
90,cake,2,Non-Social,30,20
90,cake,3,Non-Social,45,35
90,cake,4,Non-Social,50,50
90,cake,5,Non-Social,70,70
91,cake,1,Non-Social,15,10
91,cake,2,Non-Social,30,20
91,cake,3,Non-Social,35,35
91,cake,4,Non-Social,50,50
91,cake,5,Non-Social,90,70
92,cake,1,Non-Social,36,10
92,cake,2,Non-Social,36,20
92,cake,3,Non-Social,36,35
92,cake,4,Non-Social,50,50
92,cake,5,Non-Social,70,70
93,cake,1,Non-Social,60,10
93,cake,2,Non-Social,50,20
93,cake,3,Non-Social,55,35
93,cake,4,Non-Social,60,50
93,cake,5,Non-Social,80,70
94,cake,1,Non-Social,25,10
94,cake,2,Non-Social,30,20
94,cake,3,Non-Social,190,35
94,cake,4,Non-Social,60,50
94,cake,5,Non-Social,190,70
95,cake,1,Non-Social,60,10
95,cake,2,Non-Social,50,20
95,cake,3,Non-Social,80,35
95,cake,4,Non-Social,60,50
95,cake,5,Non-Social,120,70
96,cake,1,Non-Social,30,10
96,cake,2,Non-Social,40,20
96,cake,3,Non-Social,40,35
96,cake,4,Non-Social,60,50
96,cake,5,Non-Social,90,70
97,cake,1,Non-Social,30,10
97,cake,2,Non-Social,45,20
97,cake,3,Non-Social,60,35
97,cake,4,Non-Social,60,50
97,cake,5,Non-Social,90,70
98,cake,1,Non-Social,30,10
98,cake,2,Non-Social,30,20
98,cake,3,Non-Social,45,35
98,cake,4,Non-Social,60,50
98,cake,5,Non-Social,90,70
99,cake,1,Non-Social,40,10
99,cake,2,Non-Social,40,20
99,cake,3,Non-Social,40,35
99,cake,4,Non-Social,60,50
99,cake,5,Non-Social,130,70
100,cake,1,Non-Social,45,10
100,cake,2,Non-Social,45,20
100,cake,3,Non-Social,45,35
100,cake,4,Non-Social,60,50
100,cake,5,Non-Social,80,70
101,cake,1,Non-Social,40,10
101,cake,2,Non-Social,50,20
101,cake,3,Non-Social,65,35
101,cake,4,Non-Social,80,50
101,cake,5,Non-Social,120,70
102,cake,1,Non-Social,90,10
102,cake,2,Non-Social,90,20
102,cake,3,Non-Social,90,35
102,cake,4,Non-Social,90,50
102,cake,5,Non-Social,90,70
103,cake,1,Non-Social,50,10
103,cake,2,Non-Social,50,20
103,cake,3,Non-Social,50,35
103,cake,4,Non-Social,50,50
103,cake,5,Non-Social,90,70
104,cake,1,Non-Social,30,10
104,cake,2,Non-Social,30,20
104,cake,3,Non-Social,60,35
104,cake,4,Non-Social,60,50
104,cake,5,Non-Social,90,70
105,cake,1,Non-Social,40,10
105,cake,2,Non-Social,40,20
105,cake,3,Non-Social,40,35
105,cake,4,Non-Social,90,50
105,cake,5,Non-Social,90,70
106,cake,1,Non-Social,20,10
106,cake,2,Non-Social,35,20
106,cake,3,Non-Social,40,35
106,cake,4,Non-Social,55,50
106,cake,5,Non-Social,75,70
107,cake,1,Non-Social,30,10
107,cake,2,Non-Social,20,20
107,cake,3,Non-Social,40,35
107,cake,4,Non-Social,50,50
107,cake,5,Non-Social,90,70
108,cake,1,Non-Social,35,10
108,cake,2,Non-Social,25,20
108,cake,3,Non-Social,36,35
108,cake,4,Non-Social,55,50
108,cake,5,Non-Social,75,70
109,cake,1,Non-Social,20,10
109,cake,2,Non-Social,30,20
109,cake,3,Non-Social,45,35
109,cake,4,Non-Social,60,50
109,cake,5,Non-Social,75,70
110,cake,1,Non-Social,45,10
110,cake,2,Non-Social,45,20
110,cake,3,Non-Social,45,35
110,cake,4,Non-Social,90,50
110,cake,5,Non-Social,90,70
111,cake,1,Non-Social,30,10
111,cake,2,Non-Social,30,20
111,cake,3,Non-Social,40,35
111,cake,4,Non-Social,60,50
111,cake,5,Non-Social,70,70
112,cake,1,Non-Social,25,10
112,cake,2,Non-Social,25,20
112,cake,3,Non-Social,40,35
112,cake,4,Non-Social,60,50
112,cake,5,Non-Social,80,70
113,cake,1,Non-Social,40,10
113,cake,2,Non-Social,40,20
113,cake,3,Non-Social,40,35
113,cake,4,Non-Social,60,50
113,cake,5,Non-Social,120,70
114,cake,1,Non-Social,15,10
114,cake,2,Non-Social,30,20
114,cake,3,Non-Social,45,35
114,cake,4,Non-Social,60,50
114,cake,5,Non-Social,75,70
115,cake,1,Non-Social,25,10
115,cake,2,Non-Social,25,20
115,cake,3,Non-Social,40,35
115,cake,4,Non-Social,50,50
115,cake,5,Non-Social,70,70
116,cake,1,Non-Social,40,10
116,cake,2,Non-Social,40,20
116,cake,3,Non-Social,40,35
116,cake,4,Non-Social,50,50
116,cake,5,Non-Social,70,70
117,cake,1,Non-Social,20,10
117,cake,2,Non-Social,30,20
117,cake,3,Non-Social,40,35
117,cake,4,Non-Social,60,50
117,cake,5,Non-Social,120,70
118,cake,1,Non-Social,35,10
118,cake,2,Non-Social,35,20
118,cake,3,Non-Social,35,35
118,cake,4,Non-Social,60,50
118,cake,5,Non-Social,120,70
119,cake,1,Non-Social,10,10
119,cake,2,Non-Social,20,20
119,cake,3,Non-Social,40,35
119,cake,4,Non-Social,60,50
119,cake,5,Non-Social,120,70
120,cake,1,Non-Social,25,10
120,cake,2,Non-Social,25,20
120,cake,3,Non-Social,50,35
120,cake,4,Non-Social,55,50
120,cake,5,Non-Social,90,70
121,cake,1,Non-Social,40,10
121,cake,2,Non-Social,40,20
121,cake,3,Non-Social,40,35
121,cake,4,Non-Social,60,50
121,cake,5,Non-Social,90,70
122,cake,1,Non-Social,45,10
122,cake,2,Non-Social,25,20
122,cake,3,Non-Social,45,35
122,cake,4,Non-Social,60,50
122,cake,5,Non-Social,70,70
123,cake,1,Non-Social,20,10
123,cake,2,Non-Social,30,20
123,cake,3,Non-Social,50,35
123,cake,4,Non-Social,70,50
123,cake,5,Non-Social,90,70
124,cake,1,Non-Social,55,10
124,cake,2,Non-Social,40,20
124,cake,3,Non-Social,50,35
124,cake,4,Non-Social,66,50
124,cake,5,Non-Social,70,70
125,cake,1,Non-Social,30,10
125,cake,2,Non-Social,30,20
125,cake,3,Non-Social,45,35
125,cake,4,Non-Social,60,50
125,cake,5,Non-Social,75,70
126,cake,1,Non-Social,45,10
126,cake,2,Non-Social,35,20
126,cake,3,Non-Social,40,35
126,cake,4,Non-Social,60,50
126,cake,5,Non-Social,75,70
127,cake,1,Non-Social,20,10
127,cake,2,Non-Social,20,20
127,cake,3,Non-Social,40,35
127,cake,4,Non-Social,60,50
127,cake,5,Non-Social,90,70
128,cake,1,Non-Social,40,10
128,cake,2,Non-Social,40,20
128,cake,3,Non-Social,40,35
128,cake,4,Non-Social,60,50
128,cake,5,Non-Social,90,70
129,cake,1,Non-Social,60,10
129,cake,2,Non-Social,60,20
129,cake,3,Non-Social,120,35
129,cake,4,Non-Social,60,50
129,cake,5,Non-Social,120,70
130,cake,1,Non-Social,15,10
130,cake,2,Non-Social,30,20
130,cake,3,Non-Social,60,35
130,cake,4,Non-Social,60,50
130,cake,5,Non-Social,90,70
131,cake,1,Non-Social,20,10
131,cake,2,Non-Social,30,20
131,cake,3,Non-Social,35,35
131,cake,4,Non-Social,50,50
131,cake,5,Non-Social,90,70
132,cake,1,Non-Social,12,10
132,cake,2,Non-Social,25,20
132,cake,3,Non-Social,40,35
132,cake,4,Non-Social,60,50
132,cake,5,Non-Social,90,70
133,cake,1,Non-Social,20,10
133,cake,2,Non-Social,25,20
133,cake,3,Non-Social,40,35
133,cake,4,Non-Social,50,50
133,cake,5,Non-Social,70,70
134,cake,1,Non-Social,40,10
134,cake,2,Non-Social,40,20
134,cake,3,Non-Social,50,35
134,cake,4,Non-Social,60,50
134,cake,5,Non-Social,90,70
135,cake,1,Non-Social,90,10
135,cake,2,Non-Social,90,20
135,cake,3,Non-Social,90,35
135,cake,4,Non-Social,90,50
135,cake,5,Non-Social,90,70
136,cake,1,Non-Social,30,10
136,cake,2,Non-Social,30,20
136,cake,3,Non-Social,60,35
136,cake,4,Non-Social,60,50
136,cake,5,Non-Social,90,70
137,cake,1,Non-Social,50,10
137,cake,2,Non-Social,30,20
137,cake,3,Non-Social,37,35
137,cake,4,Non-Social,60,50
137,cake,5,Non-Social,75,70
138,cake,1,Non-Social,30,10
138,cake,2,Non-Social,30,20
138,cake,3,Non-Social,40,35
138,cake,4,Non-Social,60,50
138,cake,5,Non-Social,80,70
139,cake,1,Non-Social,45,10
139,cake,2,Non-Social,45,20
139,cake,3,Non-Social,45,35
139,cake,4,Non-Social,60,50
139,cake,5,Non-Social,90,70
140,cake,1,Non-Social,40,10
140,cake,2,Non-Social,40,20
140,cake,3,Non-Social,60,35
140,cake,4,Non-Social,60,50
140,cake,5,Non-Social,150,70
141,cake,1,Non-Social,20,10
141,cake,2,Non-Social,40,20
141,cake,3,Non-Social,40,35
141,cake,4,Non-Social,60,50
141,cake,5,Non-Social,75,70
142,cake,1,Non-Social,15,10
142,cake,2,Non-Social,30,20
142,cake,3,Non-Social,40,35
142,cake,4,Non-Social,60,50
142,cake,5,Non-Social,100,70
143,cake,1,Non-Social,45,10
143,cake,2,Non-Social,45,20
143,cake,3,Non-Social,45,35
143,cake,4,Non-Social,60,50
143,cake,5,Non-Social,80,70
144,cake,1,Non-Social,30,10
144,cake,2,Non-Social,30,20
144,cake,3,Non-Social,35,35
144,cake,4,Non-Social,55,50
144,cake,5,Non-Social,70,70
145,cake,1,Non-Social,45,10
145,cake,2,Non-Social,30,20
145,cake,3,Non-Social,35,35
145,cake,4,Non-Social,60,50
145,cake,5,Non-Social,90,70
146,cake,1,Non-Social,20,10
146,cake,2,Non-Social,25,20
146,cake,3,Non-Social,40,35
146,cake,4,Non-Social,60,50
146,cake,5,Non-Social,75,70
147,cake,1,Non-Social,20,10
147,cake,2,Non-Social,25,20
147,cake,3,Non-Social,40,35
147,cake,4,Non-Social,60,50
147,cake,5,Non-Social,120,70
148,cake,1,Non-Social,20,10
148,cake,2,Non-Social,30,20
148,cake,3,Non-Social,45,35
148,cake,4,Non-Social,60,50
148,cake,5,Non-Social,90,70
149,cake,1,Non-Social,45,10
149,cake,2,Non-Social,30,20
149,cake,3,Non-Social,45,35
149,cake,4,Non-Social,55,50
149,cake,5,Non-Social,85,70
1,movie,1,Non-Social,35,30
1,movie,2,Non-Social,50,45
1,movie,3,Non-Social,68,60
1,movie,4,Non-Social,90,85
1,movie,5,Non-Social,101,100
2,movie,1,Non-Social,94,30
2,movie,2,Non-Social,94,45
2,movie,3,Non-Social,94,60
2,movie,4,Non-Social,94,85
2,movie,5,Non-Social,124,100
3,movie,1,Non-Social,138,30
3,movie,2,Non-Social,138,45
3,movie,3,Non-Social,138,60
3,movie,4,Non-Social,138,85
3,movie,5,Non-Social,138,100
4,movie,1,Non-Social,90,30
4,movie,2,Non-Social,90,45
4,movie,3,Non-Social,100,60
4,movie,4,Non-Social,90,85
4,movie,5,Non-Social,110,100
5,movie,1,Non-Social,90,30
5,movie,2,Non-Social,90,45
5,movie,3,Non-Social,90,60
5,movie,4,Non-Social,90,85
5,movie,5,Non-Social,120,100
6,movie,1,Non-Social,120,30
6,movie,2,Non-Social,120,45
6,movie,3,Non-Social,120,60
6,movie,4,Non-Social,120,85
6,movie,5,Non-Social,120,100
7,movie,1,Non-Social,45,30
7,movie,2,Non-Social,55,45
7,movie,3,Non-Social,65,60
7,movie,4,Non-Social,120,85
7,movie,5,Non-Social,140,100
8,movie,1,Non-Social,125,30
8,movie,2,Non-Social,130,45
8,movie,3,Non-Social,93,60
8,movie,4,Non-Social,180,85
8,movie,5,Non-Social,155,100
9,movie,1,Non-Social,40,30
9,movie,2,Non-Social,50,45
9,movie,3,Non-Social,65,60
9,movie,4,Non-Social,90,85
9,movie,5,Non-Social,100,100
10,movie,1,Non-Social,64,30
10,movie,2,Non-Social,70,45
10,movie,3,Non-Social,90,60
10,movie,4,Non-Social,95,85
10,movie,5,Non-Social,115,100
11,movie,1,Non-Social,90,30
11,movie,2,Non-Social,90,45
11,movie,3,Non-Social,90,60
11,movie,4,Non-Social,90,85
11,movie,5,Non-Social,120,100
12,movie,1,Non-Social,110,30
12,movie,2,Non-Social,110,45
12,movie,3,Non-Social,110,60
12,movie,4,Non-Social,110,85
12,movie,5,Non-Social,110,100
13,movie,1,Non-Social,120,30
13,movie,2,Non-Social,120,45
13,movie,3,Non-Social,120,60
13,movie,4,Non-Social,120,85
13,movie,5,Non-Social,120,100
14,movie,1,Non-Social,90,30
14,movie,2,Non-Social,100,45
14,movie,3,Non-Social,120,60
14,movie,4,Non-Social,120,85
14,movie,5,Non-Social,150,100
15,movie,1,Non-Social,120,30
15,movie,2,Non-Social,120,45
15,movie,3,Non-Social,120,60
15,movie,4,Non-Social,120,85
