Subject,Story,Level,Context,Prediction
1,cake,1,Social,10.0
1,cake,2,Social,20.0
1,cake,3,Social,49.0
1,cake,4,Social,63.0
1,cake,5,Social,78.0
1,movie,1,Social,38.0
1,movie,2,Social,53.0
1,movie,3,Social,67.0
1,movie,4,Social,93.0
1,movie,5,Social,109.0
1,podcast,1,Social,22.0
1,podcast,2,Social,37.0
1,podcast,3,Social,55.0
1,podcast,4,Social,75.0
1,podcast,5,Social,111.0
