"TVal","predicted_rating"
1,1.94362237348325
2,1.96179836243461
3,1.97997435138598
4,1.99815034033735
5,2.01632632928871
6,2.03450231824008
7,2.05267830719145
8,2.07085429614281
9,2.08903028509418
10,2.10720627404555
11,2.12538226299691
12,2.14355825194828
13,2.16173424089964
14,2.17991022985101
15,2.19808621880238
16,2.21626220775374
17,2.23443819670511
18,2.25261418565648
19,2.27079017460784
20,2.28896616355921
21,2.30714215251058
22,2.32531814146194
23,2.34349413041331
24,2.36167011936467
25,2.37984610831604
26,2.39802209726741
27,2.41619808621877
28,2.43437407517014
29,2.45255006412151
30,2.47072605307287
31,2.48890204202424
32,2.50707803097561
33,2.52525401992697
34,2.54343000887834
35,2.5616059978297
36,2.57978198678107
37,2.59795797573244
38,2.6161339646838
39,2.63430995363517
40,2.65248594258654
41,2.6706619315379
42,2.68883792048927
43,2.70701390944063
44,2.725189898392
45,2.74336588734337
46,2.76154187629473
47,2.7797178652461
48,2.79789385419747
49,2.81606984314883
50,2.8342458321002
51,2.85242182105157
52,2.87059781000293
53,2.8887737989543
54,2.90694978790566
55,2.92512577685703
56,2.9433017658084
57,2.96147775475976
58,2.97965374371113
59,2.9978297326625
60,3.01600572161386
61,3.03418171056523
62,3.0523576995166
63,3.07053368846796
64,3.08870967741933
65,3.10688566637069
66,3.12506165532206
67,3.14323764427343
68,3.16141363322479
69,3.17958962217616
70,3.19776561112753
71,3.21594160007889
72,3.23411758903026
73,3.25229357798163
74,3.27046956693299
75,3.28864555588436
76,3.30682154483572
77,3.32499753378709
78,3.34317352273846
79,3.36134951168982
80,3.37952550064119
81,3.39770148959256
82,3.41587747854392
83,3.43405346749529
84,3.45222945644666
85,3.47040544539802
86,3.48858143434939
87,3.50675742330075
88,3.52493341225212
89,3.54310940120349
90,3.56128539015485
91,3.57946137910622
92,3.59763736805759
93,3.61581335700895
94,3.63398934596032
95,3.65216533491169
96,3.67034132386305
97,3.68851731281442
98,3.70669330176578
99,3.72486929071715
100,3.74304527966852
101,3.76122126861988
102,3.77939725757125
103,3.79757324652262
104,3.81574923547398
105,3.83392522442535
106,3.85210121337672
107,3.87027720232808
108,3.88845319127945
109,3.90662918023081
110,3.92480516918218
111,3.94298115813355
112,3.96115714708491
113,3.97933313603628
114,3.99750912498765
115,4.01568511393901
116,4.03386110289038
117,4.05203709184175
118,4.07021308079311
119,4.08838906974448
120,4.10656505869584
121,4.12474104764721
122,4.14291703659858
123,4.16109302554994
124,4.17926901450131
125,4.19744500345268
126,4.21562099240404
127,4.23379698135541
128,4.25197297030678
129,4.27014895925814
130,4.28832494820951
131,4.30650093716087
132,4.32467692611224
133,4.34285291506361
134,4.36102890401497
135,4.37920489296634
136,4.39738088191771
137,4.41555687086907
138,4.43373285982044
139,4.45190884877181
140,4.47008483772317
141,4.48826082667454
142,4.5064368156259
143,4.52461280457727
144,4.54278879352864
145,4.56096478248
146,4.57914077143137
147,4.59731676038274
148,4.6154927493341
149,4.63366873828547
150,4.65184472723683
151,4.6700207161882
152,4.68819670513957
153,4.70637269409093
154,4.7245486830423
155,4.74272467199367
156,4.76090066094503
157,4.7790766498964
158,4.79725263884777
159,4.81542862779913
160,4.8336046167505
161,4.85178060570187
162,4.86995659465323
163,4.8881325836046
164,4.90630857255596
165,4.92448456150733
166,4.9426605504587
167,4.96083653941006
168,4.97901252836143
169,4.9971885173128
170,5.01536450626416
171,5.03354049521553
172,5.05171648416689
173,5.06989247311826
174,5.08806846206963
175,5.10624445102099
176,5.12442043997236
177,5.14259642892373
178,5.16077241787509
179,5.17894840682646
180,5.19712439577783
