"Context","T_val","avg"
"Non-Social",10,29.6666666666667
"Social",10,20.3605442176871
"Non-Social",20,32.7687074829932
"Social",20,27.2789115646259
"Non-Social",35,44.3945578231293
"Social",35,40.6122448979592
"Non-Social",50,59.027027027027
"Social",50,54.8163265306122
"Non-Social",70,86.0067567567568
"Social",70,75.7414965986395
