"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","cakeL1Response","cakeL2Response","cakeL3Response","cakeL4Response","cakeL5Response","movieL1Response","movieL2Response","movieL3Response","movieL4Response","movieL5Response","podcastL1Response","podcastL2Response","podcastL3Response","podcastL4Response","podcastL5Response","attentionCheck"
"VEngju75br9mD9E3mIgtm-6YI6FwWwgAMEVTEWvUz1k8zb8A-YYHpU7nwwa_4iP9","2022-01-15 23:54:51","2022-01-15 23:58:40","2022-01-15 23:58:40","","5f2940e8f763a631a18f7f12","61e19414185ab41992e2afa7","61e350b6c0765be40426df68","40","20","45","50","75","130","130","130","130","130","50","50","70","90","120","4"
"73BHwmbruU5Ty7PqRyY3dfO_4jpZ9nbLJf5xQvV37Ah3sfu1roCijI4JMSc2FatK","2022-01-15 23:54:51","2022-01-15 23:59:25","2022-01-15 23:59:25","","60fb856e130fa3059ef8c16c","61e19414185ab41992e2afa7","61e350b3311e82ef74912b1a","20","25","40","60","90","100","100","120","120","140","25","40","60","90","120","4"
"wZWzoGH11ZtEsPWx3YtKgCSfoBzY_zsVfToDn_Q126JcLPMZk_aMw0XgiFp1Ci0r","2022-01-15 23:54:51","2022-01-15 23:59:27","2022-01-15 23:59:27","","5f8d7ad4cec12806fc99bde4","61e19414185ab41992e2afa7","61e350b78bd6e2acb44b16b1","15","25","35","50","70","90","90","90","90","110","40","60","120","150","210","4"
"NUEcvgkv6vIeUSyVhedN79j4cCWWN9EGutCAEU6F4boDprjlayawyGGyqP4hduX3","2022-01-15 23:54:51","2022-01-15 23:59:01","2022-01-15 23:59:01","","5b9a7335b3790c0001547cee","61e19414185ab41992e2afa7","61e350b7c4b0e4b55f9f4feb","40","40","40","60","75","120","120","120","120","120","35","35","65","80","120","4"
"HEM0OkqGX7bsYDlSete8ZYGjWcq6BOGjNqho5csKNZncm2gsQ9jakwbSHGkyHFmU","2022-01-15 23:54:53","2022-01-15 23:59:52","2022-01-15 23:59:52","","6107da4edfab59084c45652f","61e19414185ab41992e2afa7","61e350bb1343fdc4cd4981d2","20","30","40","60","80","120","120","120","120","120","30","60","70","90","120","4"
"Zqrx0bWHx_LkS81itaC1qJ8pvC90CA58VAZLzBvbCFwlq2YzkWbLVQ1GQWa7AM4B","2022-01-15 23:54:54","2022-01-15 23:59:11","2022-01-15 23:59:11","","5bd764370aac450001f94690","61e19414185ab41992e2afa7","61e350b7241597d22151efde","10","20","35","50","70","120","120","120","120","120","60","60","60","90","120","4"
"toeP-dxlb6lOYm9gPOLGcT7sZzhpGIHeGWq-VQqhHX4qKF--SEjJPxk5v8R5ke4b","2022-01-15 23:54:54","2022-01-15 23:59:41","2022-01-15 23:59:41","","5c60c298af517e0001a00b00","61e19414185ab41992e2afa7","61e350bbd54cfb91987271ec","30","30","45","60","100","90","90","90","90","120","45","45","150","105","150","4"
"hC2OnC27U5IXA3yti7k9lMBdbUD4ICHK5dNys6dqXwS7Rte4uzVwKGzlpwyDlqgH","2022-01-15 23:54:54","2022-01-16 00:00:25","2022-01-16 00:00:25","","5e739143d4934a023004b7fc","61e19414185ab41992e2afa7","61e350bb73ffc43bb5ca5147","25","25","45","60","90","90","90","90","90","120","60","60","90","90","130","4"
"I4sJObLgPD1ODA4eRzAmjo90ioayvmHRj3U5UvMG9JLp2CtM3rEwJbWSGfJt_Ae3","2022-01-15 23:54:56","2022-01-15 23:58:22","2022-01-15 23:58:22","","5f920c67315aca1251c58b13","61e19414185ab41992e2afa7","61e350bc241597d22151efdf","10","30","45","60","80","35","52","68","95","110","30","45","70","85","120","4"
"cXmvn06htUJ2G0FXsjgsqmt86ChNGLpJam1KyLrTguSKhxnL7UGXry-7AAxXgZiM","2022-01-15 23:54:57","2022-01-16 00:00:08","2022-01-16 00:00:08","","5ebc4ad2306af20607134ce6","61e19414185ab41992e2afa7","61e350bc9fb97fa71938045e","40","40","40","60","80","120","120","120","120","120","45","45","70","90","120","4"
