"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","cakeL1Response","cakeL2Response","cakeL3Response","cakeL4Response","cakeL5Response","movieL1Response","movieL2Response","movieL3Response","movieL4Response","movieL5Response","podcastL1Response","podcastL2Response","podcastL3Response","podcastL4Response","podcastL5Response","attentionCheck"
"sB9-KunioqQMPkRHSYEw1evWSqXlZMa3RUruVnlNgAxBbdFeBBIMqfDeBseh6ZkG","2022-01-16 19:02:29","2022-01-16 19:03:51","2022-01-16 19:03:51","","5591cd21fdf99b63126f6c60","61e367685623b9b3189455fa","61e45db16964134db328ad45","13","25","40","55","72","60","60","70","95","110","16","31","56","76","106","4"
"li3MKO3hZKRec1IETUmZ-lKsXRTw6JHBJV1vmzf0HcifPrpLblsWcRHgvV9flCKK","2022-01-16 19:03:09","2022-01-16 19:07:21","2022-01-16 19:07:21","","5e754e51e8a6f10cad375128","61e367685623b9b3189455fa","61e45ddb0426204ba2b4f0a1","15","25","37","50","70","120","120","120","120","110","17","32","57","77","107","4"
"ZequjPNCsvP9rZeNQTeKj9DQLxI5A3eUKZuiS1oF--fDX4CtiitI1J4zjiPo7XFd","2022-01-16 19:03:32","2022-01-16 19:07:17","2022-01-16 19:07:17","","612bdca67fe2b2cb696269ee","61e367685623b9b3189455fa","61e45ded965575ff6a45cd36","40","30","40","60","80","35","50","65","90","105","16","31","56","76","106","4"
"dxSh8c8tQ8rhY8uaVOYJjzqYa2JAvYDl39WchcMqiR_zifbtHO8pjrrOQjXRYpg7","2022-01-16 19:03:46","2022-01-16 19:05:22","2022-01-16 19:05:22","","60a4f62950812e5b818f5e44","61e367685623b9b3189455fa","61e45dfe9464433244aa7566","30","30","40","55","75","120","120","120","120","160","16","31","56","75","105","4"
"c_QETy96GyzMiXrzHAPNVOOGeKX8KL1HPx_fkGxrIor78uercaJYD7CCMS65jzZs","2022-01-16 19:03:50","2022-01-16 19:06:23","2022-01-16 19:06:23","","5dbec8af4a8eb43937c03d2b","61e367685623b9b3189455fa","61e45d4844b7b7fcce28649a","25","20","35","50","70","90","75","85","85","100","45","30","55","75","105","4"
"WfonfLAUEY4G5SutOpL-HZKL9GOKCy4SB4jjLxaUENG54RRJ7z3nqDwG_DvItTLp","2022-01-16 19:03:57","","","","","","","","","","","","","","","","","","","","","",""
"Y3XOXqudrIGM7Vj2wa6BQh3DlTo4HCG3vF9dIpDEHKrXmzpTZMRaNlpAsV5DlExO","2022-01-16 19:04:09","2022-01-16 19:08:47","2022-01-16 19:08:47","","610041aee58af3bd8a5a7478","61e367685623b9b3189455fa","61e45e1065118d99032b0435","12","22","36","53","72","32","48","64","88","105","17","33","58","80","110","4"
"QMqH6UbgQz7e2iWT2El1Ns54oXfIrkvjvskIZQcIJkTZyVy4orXTdfyqte6MBRpu","2022-01-16 19:04:23","2022-01-16 19:15:22","2022-01-16 19:15:22","","6112cc420c68ea993ade2533","61e367685623b9b3189455fa","61e45e0f03d0c6a6f6582079","60","60","60","60","80","90","90","90","90","120","15","35","60","80","110","4"
"gsDsLS-FrAMA9mj8Z9wzFsrmidtQgAIVb8toDp_UBpoyeSJRlPl22PXGmXJbr1cX","2022-01-16 19:07:33","","","","","","","","","","","","","","","","","","","","","",""
"gC0l3aro4hqBt74e7xuhMRBRpxs3BJXaDtFhaLqtAGJbrHjKA_FhSDGJ7wmtm9fh","2022-01-16 19:17:02","","","","","","","","","","","","","","","","","","","","","",""
"KKvgXvV7lYuIcJe9U6IpjhAV3ala-mzNdj2W-MHIph2Ryvb7ze1_H46dT0uqoKX5","2022-01-16 20:03:26","","","","","","","","","","","","","","","","","","","","","",""
