"Level","Prediction"
1,45
2,45
3,45
4,45
5,45
6,45
7,45
8,45
9,45
10,45
11,45
12,45
13,45
14,45
15,45
16,48
17,48
18,48
19,48
20,48
21,50
22,50
23,50
24,50
25,50
26,50
27,50
28,53
29,53
30,53
31,60
32,60
33,60
34,60
35,60
36,60
37,60
38,60
39,60
40,60
41,65
42,65
43,65
44,70
45,70
46,75
47,75
48,75
49,75
50,75
51,80
52,80
53,80
54,80
55,80
56,82
57,82
58,82
59,82
60,82
61,90
62,90
63,90
64,90
65,90
66,95
67,95
68,95
69,95
70,95
71,105
72,105
73,105
74,105
75,105
