"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","calculate_cake","cakeL1C1R0","cakeL1C2R0","cakeL1C1R1","cakeL1C2R1","cakeL2C1R0","cakeL2C2R0","cakeL2C1R1","cakeL2C2R1","cakeL3C1R0","cakeL3C2R0","cakeL3C1R1","cakeL3C2R1","cakeL4C1R0","cakeL4C2R0","cakeL4C1R1","cakeL4C2R1","cakeL5C1R0","cakeL5C2R0","cakeL5C1R1","cakeL5C2R1","calculate_movie","movieL1C1R0","movieL1C2R0","movieL1C1R1","movieL1C2R1","movieL2C1R0","movieL2C2R0","movieL2C1R1","movieL2C2R1","movieL3C1R0","movieL3C2R0","movieL3C1R1","movieL3C2R1","movieL4C1R0","movieL4C2R0","movieL4C1R1","movieL4C2R1","movieL5C1R0","movieL5C2R0","movieL5C1R1","movieL5C2R1","calculate_podcast","podcastL1C1R0","podcastL1C2R0","podcastL1C1R1","podcastL1C2R1","podcastL2C1R0","podcastL2C2R0","podcastL2C1R1","podcastL2C2R1","podcastL3C1R0","podcastL3C2R0","podcastL3C1R1","podcastL3C2R1","podcastL4C1R0","podcastL4C2R0","podcastL4C1R1","podcastL4C2R1","podcastL5C1R0","podcastL5C2R0","podcastL5C1R1","podcastL5C2R1","attentionCheck","feedback"
"I6h6HCs8GItYdypM_vfm4886xc8VDMnd62UXce54aaA6DcokOdk1CzbLett_e4UL","2021-12-08 18:50:52","2021-12-08 19:00:10","2021-12-08 19:00:10","","60e2eb76ad1d5ee0e515a7bb","61ae940bf2e49b52274b6434","61b0f0786524e034dd42d135","[2,1]","","6","1","","","6","1","","","6","3","","","5","6","","","5","7","","[2,1]","","2","1","","","2","1","","","3","1","","","5","3","","","6","3","","[1,2]","3","","","5","4","","","4","2","","","2","1","","","1","1","","","2","4","n/a"
"AjFuSqCq1552T7x5NyQum-j_yUxonn0UOvR5TQx8rlIyjLQIAdfkSc2W_EgjFlek","2021-12-08 18:50:52","2021-12-08 18:55:03","2021-12-08 18:55:03","","6109a51e7eb495edfdbd140b","61ae940bf2e49b52274b6434","61b0f074174a03287bc7e807","[1,2]","3","","","2","6","","","4","1","","","1","1","","","1","1","","","1","[1,2]","2","","","3","2","","","3","2","","","3","5","","","4","7","","","5","[2,1]","","5","1","","","3","2","","","3","5","","","3","5","","","3","5","","4",""
"l1TLLnBTqyp9_WZzJbYc-gqsaB89kaYI0FmbtrKahn3S7pY7whMXfRgc_4JUqI1h","2021-12-08 18:50:52","2021-12-08 18:59:50","2021-12-08 18:59:50","","5b8133ba0d65aa00014d5e1f","61ae940bf2e49b52274b6434","61b0f07be14c9123bcd8a809","[2,1]","","5","1","","","5","3","","","3","3","","","5","6","","","6","6","","[1,2]","1","","","1","2","","","2","2","","","2","1","","","1","1","","","1","[2,1]","","1","2","","","1","2","","","2","4","","","2","5","","","2","5","","4",""
"XVpzQRQS_qjT0GxDc9eJfHDdWZY1AESMfXkMj638e6BrA4sh3sYtHNSRHHa0v8Xe","2021-12-08 18:50:53","2021-12-08 18:57:25","2021-12-08 18:57:25","","5bf01b3e2a9d2c00013ddc2a","61ae940bf2e49b52274b6434","61b0f07a766cdfcbf536d7d5","[2,1]","","3","2","","","5","3","","","6","7","","","6","7","","","6","7","","[2,1]","","3","1","","","3","1","","","3","2","","","2","1","","","5","5","","[1,2]","1","","","4","4","","","4","4","","","4","4","","","4","4","","","3","4",""
"0CO0hhyEEjIezLBs6KwXiUl5p-GU0cP0qaaw9hmGCWLvQMeedzK-U1kaEufDW0nh","2021-12-08 18:50:53","2021-12-08 18:58:32","2021-12-08 18:58:32","","602db115eff74b88250fe3bb","61ae940bf2e49b52274b6434","61b0f079c547264f76ed15ea","[1,2]","1","","","6","1","","","7","2","","","7","1","","","6","1","","","7","[1,2]","3","","","4","4","","","4","2","","","2","1","","","1","1","","","1","[2,1]","","5","5","","","6","6","","","7","7","","","7","7","","","7","7","","4",""
"wGIuRW4N3E9cccSdcPprmF_VR-aUpaMTKOQd6o3xoWDUDbAvevn_57omOmS1NTC8","2021-12-08 18:50:53","2021-12-08 19:30:12","2021-12-08 19:30:12","","6164d0e297d28b86b5254c9c","61ae940bf2e49b52274b6434","61b0f078385c9f392a6fd370","[2,1]","","5","5","","","4","4","","","3","3","","","2","2","","","1","1","","[1,2]","6","","","1","5","","","1","5","","","1","3","","","1","2","","","1","[2,1]","","3","7","","","3","7","","","3","7","","","3","7","","","3","7","","4","no"
"q-bKDHmWt1apkhGwTxrWlQBwh8YCOK2JG46B2ZL6aqCr0Cqb2qzYQFd4Roy932Ty","2021-12-08 18:50:53","2021-12-08 18:53:36","2021-12-08 18:53:36","","5c46e8de59a3a60001a265e8","61ae940bf2e49b52274b6434","61b0f07baa9aab6f6cfecbb2","[2,1]","","7","2","","","7","3","","","7","5","","","7","7","","","7","7","","[1,2]","1","","","1","3","","","3","2","","","2","2","","","2","2","","","2","[1,2]","2","","","4","2","","","4","6","","","4","6","","","4","6","","","4","4",""
"NNyUCnfWONddKYdR_XkSNRX4Xu383KS4AQBQC2PlGiLwLBdtvUYZwEf8fzqrRU_7","2021-12-08 18:50:53","2021-12-08 18:53:13","2021-12-08 18:53:13","","5d398380b37ab1000111fac3","61ae940bf2e49b52274b6434","61b0f07acb1338e55ecc9bb5","[2,1]","","1","1","","","3","2","","","4","3","","","7","7","","","7","7","","[2,1]","","5","1","","","7","1","","","5","1","","","7","7","","","7","7","","[1,2]","2","","","4","2","","","2","3","","","4","3","","","3","7","","","2","3",""
"pUUNEBhJeV8_wDv2Irkk6ZWPZaMB_0dR_3HulnbvXM1DMyZs3uF_sRysuMp-TyWw","2021-12-08 18:50:53","2021-12-08 18:56:19","2021-12-08 18:56:19","","60abeb39f19c987b605c5524","61ae940bf2e49b52274b6434","61b0f06f34357c910e1e1125","[2,1]","","6","6","","","5","5","","","5","5","","","6","6","","","2","4","","[1,2]","2","","","2","2","","","2","4","","","3","3","","","3","1","","","1","[1,2]","5","","","4","5","","","4","5","","","4","3","","","3","3","","","3","4",""
"cqZBcXXwMvMKCBd2RZ-mkP8xOx44i7NkIGP6SoJH9O4uKzv6r5iJqe1XsgPZHvDC","2021-12-08 18:50:54","2021-12-08 18:56:33","2021-12-08 18:56:33","","5d57d5d948766d0001949b5d","61ae940bf2e49b52274b6434","61b0f07a68fe9830cc2a3c83","[1,2]","5","","","1","6","","","4","7","","","6","7","","","5","7","","","7","[2,1]","","6","4","","","2","2","","","6","1","","","5","1","","","7","1","","[2,1]","","7","2","","","6","2","","","6","6","","","7","6","","","6","7","","4",""
