"Ts","P"
1,20
2,20
3,20
4,20
5,20
6,20
7,20
8,20
9,20
10,20
11,25
12,25
13,25
14,25
15,25
16,25
17,25
18,25
19,25
20,27
21,30
22,30
23,30
24,30
25,30
26,30
27,32
28,33
29,33
30,35
31,40
32,40
33,40
34,40
35,40
36,42
37,43
38,43
39,44
40,45
41,45
42,45
43,50
44,50
45,50
46,53
47,54
48,55
49,55
50,55
51,60
52,60
53,60
54,60
55,60
56,60
57,60
58,60
59,60
60,60
61,70
62,70
63,70
64,70
65,70
66,75
67,75
68,75
69,75
70,75
71,80
72,80
73,80
74,80
75,80
