"TVal","predicted_rating"
1,3.55231697328626
2,3.56412235383062
3,3.57592773437497
4,3.58773311491933
5,3.59953849546368
6,3.61134387600804
7,3.62314925655239
8,3.63495463709675
9,3.6467600176411
10,3.65856539818546
11,3.67037077872981
12,3.68217615927417
13,3.69398153981852
14,3.70578692036288
15,3.71759230090723
16,3.72939768145159
17,3.74120306199594
18,3.7530084425403
19,3.76481382308465
20,3.77661920362901
21,3.78842458417336
22,3.80022996471772
23,3.81203534526207
24,3.82384072580643
25,3.83564610635078
26,3.84745148689514
27,3.85925686743949
28,3.87106224798385
29,3.8828676285282
30,3.89467300907256
31,3.90647838961691
32,3.91828377016127
33,3.93008915070562
34,3.94189453124998
35,3.95369991179433
36,3.96550529233869
37,3.97731067288304
38,3.9891160534274
39,4.00092143397175
40,4.01272681451611
41,4.02453219506046
42,4.03633757560482
43,4.04814295614917
44,4.05994833669353
45,4.07175371723788
46,4.08355909778224
47,4.09536447832659
48,4.10716985887095
49,4.1189752394153
50,4.13078061995966
51,4.14258600050401
52,4.15439138104837
53,4.16619676159272
54,4.17800214213708
55,4.18980752268143
56,4.20161290322579
57,4.21341828377014
58,4.22522366431449
59,4.23702904485885
60,4.2488344254032
61,4.26063980594756
62,4.27244518649191
63,4.28425056703627
64,4.29605594758062
65,4.30786132812498
66,4.31966670866933
67,4.33147208921369
68,4.34327746975804
69,4.3550828503024
70,4.36688823084675
71,4.37869361139111
72,4.39049899193546
73,4.40230437247982
74,4.41410975302417
75,4.42591513356853
76,4.43772051411288
77,4.44952589465724
78,4.46133127520159
79,4.47313665574595
80,4.4849420362903
81,4.49674741683466
82,4.50855279737901
83,4.52035817792337
84,4.53216355846772
85,4.54396893901208
86,4.55577431955643
87,4.56757970010079
88,4.57938508064514
89,4.5911904611895
90,4.60299584173385
91,4.61480122227821
92,4.62660660282256
93,4.63841198336692
94,4.65021736391127
95,4.66202274445563
96,4.67382812499998
97,4.68563350554434
98,4.69743888608869
99,4.70924426663305
100,4.7210496471774
101,4.73285502772176
102,4.74466040826611
103,4.75646578881047
104,4.76827116935482
105,4.78007654989918
106,4.79188193044353
107,4.80368731098789
108,4.81549269153224
109,4.8272980720766
110,4.83910345262095
111,4.85090883316531
112,4.86271421370966
113,4.87451959425402
114,4.88632497479837
115,4.89813035534273
116,4.90993573588708
117,4.92174111643144
118,4.93354649697579
119,4.94535187752015
120,4.9571572580645
121,4.96896263860886
122,4.98076801915321
123,4.99257339969757
124,5.00437878024192
125,5.01618416078628
126,5.02798954133063
127,5.03979492187499
128,5.05160030241934
129,5.0634056829637
130,5.07521106350805
131,5.08701644405241
132,5.09882182459676
133,5.11062720514112
134,5.12243258568547
135,5.13423796622983
136,5.14604334677418
137,5.15784872731854
138,5.16965410786289
139,5.18145948840725
140,5.1932648689516
141,5.20507024949596
142,5.21687563004031
143,5.22868101058467
144,5.24048639112902
145,5.25229177167338
146,5.26409715221773
147,5.27590253276209
148,5.28770791330644
149,5.2995132938508
150,5.31131867439515
151,5.32312405493951
152,5.33492943548386
153,5.34673481602822
154,5.35854019657257
155,5.37034557711692
156,5.38215095766128
157,5.39395633820563
158,5.40576171874999
159,5.41756709929434
160,5.4293724798387
161,5.44117786038305
162,5.45298324092741
163,5.46478862147176
164,5.47659400201612
165,5.48839938256047
166,5.50020476310483
167,5.51201014364918
168,5.52381552419354
169,5.53562090473789
170,5.54742628528225
171,5.5592316658266
172,5.57103704637096
173,5.58284242691531
174,5.59464780745967
175,5.60645318800402
176,5.61825856854838
177,5.63006394909273
178,5.64186932963709
179,5.65367471018144
180,5.6654800907258
181,5.67728547127015
182,5.68909085181451
183,5.70089623235886
184,5.71270161290322
185,5.72450699344757
186,5.73631237399193
187,5.74811775453628
188,5.75992313508064
189,5.77172851562499
190,5.78353389616935
191,5.7953392767137
192,5.80714465725806
193,5.81895003780241
194,5.83075541834677
195,5.84256079889112
196,5.85436617943548
197,5.86617155997983
198,5.87797694052419
199,5.88978232106854
200,5.9015877016129
201,5.91339308215725
202,5.92519846270161
203,5.93700384324596
204,5.94880922379032
205,5.96061460433467
206,5.97241998487903
207,5.98422536542338
208,5.99603074596774
209,6.00783612651209
210,6.01964150705645
211,6.0314468876008
212,6.04325226814516
213,6.05505764868951
214,6.06686302923387
215,6.07866840977822
216,6.09047379032258
217,6.10227917086693
218,6.11408455141129
219,6.12588993195564
220,6.1376953125
221,6.14950069304435
222,6.16130607358871
223,6.17311145413306
224,6.18491683467742
225,6.19672221522177
226,6.20852759576613
227,6.22033297631048
228,6.23213835685484
229,6.24394373739919
230,6.25574911794355
231,6.2675544984879
232,6.27935987903226
233,6.29116525957661
234,6.30297064012097
235,6.31477602066532
236,6.32658140120968
237,6.33838678175403
238,6.35019216229839
239,6.36199754284274
240,6.37380292338709
241,6.38560830393145
242,6.3974136844758
243,6.40921906502016
244,6.42102444556451
245,6.43282982610887
246,6.44463520665322
247,6.45644058719758
248,6.46824596774193
249,6.48005134828629
250,6.49185672883064
