"t","pred"
1,26
2,26
3,30
4,30
5,30
6,30
7,30
8,31
9,31
10,31
11,34
12,34
13,35
14,35
15,35
16,35
17,35
18,35
19,35
20,35
21,40
22,40
23,40
24,40
25,40
26,42
27,42
28,42
29,42
30,42
31,48
32,50
33,50
34,50
35,50
36,50
37,50
38,53
39,53
40,53
41,57
42,57
43,60
44,60
45,60
46,60
47,60
48,60
49,60
50,60
51,70
52,70
53,70
54,70
55,70
56,75
57,75
58,75
59,75
60,75
61,82
62,82
63,82
64,82
65,82
66,85
67,85
68,85
69,85
70,85
71,89
72,89
73,89
74,89
75,90
