"t","pred"
1,8
2,10
3,12
4,16
5,19
6,21
7,24
8,26
9,27
10,29
11,30
12,31
13,32
14,33
15,34
16,35
17,37
18,37
19,38
20,39
21,40
22,41
23,42
24,42
25,43
26,44
27,45
28,46
29,47
30,48
31,50
32,51
33,52
34,53
35,53
36,54
37,55
38,56
39,57
40,57
41,58
42,59
43,59
44,60
45,60
46,61
47,61
48,61
49,62
50,63
51,63
52,63
53,64
54,65
55,66
56,66
57,67
58,68
59,69
60,70
61,72
62,74
63,75
64,77
65,79
66,80
67,81
68,83
69,84
70,85
71,87
72,88
73,89
74,90
75,91
76,92
77,93
78,94
79,95
80,96
81,97
82,98
83,99
84,100
85,101
86,102
87,104
88,105
89,106
90,108
91,109
92,111
93,112
94,114
95,115
96,116
97,117
98,118
99,119
100,120
101,121
102,121
103,121
104,122
105,122
106,123
107,123
108,123
109,123
110,124
