Subject,Story,Level,Context,Rating,TVal
19,cake,2,2,1.0,20.0
20,cake,2,1,6.0,20.0
20,cake,2,2,5.0,20.0
21,cake,2,1,4.0,20.0
21,cake,2,2,2.0,20.0
22,cake,2,1,5.0,20.0
22,cake,2,2,6.0,20.0
23,cake,2,1,4.0,20.0
23,cake,2,2,6.0,20.0
24,cake,2,1,2.0,20.0
24,cake,2,2,3.0,20.0
25,cake,2,1,5.0,20.0
25,cake,2,2,5.0,20.0
26,cake,2,1,2.0,20.0
26,cake,2,2,2.0,20.0
27,cake,2,1,7.0,20.0
27,cake,2,2,2.0,20.0
28,cake,2,1,6.0,20.0
28,cake,2,2,5.0,20.0
29,cake,2,1,3.0,20.0
29,cake,2,2,2.0,20.0
30,cake,2,1,1.0,20.0
30,cake,2,2,6.0,20.0
31,cake,2,1,6.0,20.0
31,cake,2,2,4.0,20.0
32,cake,2,1,3.0,20.0
32,cake,2,2,5.0,20.0
33,cake,2,1,3.0,20.0
33,cake,2,2,5.0,20.0
34,cake,2,1,1.0,20.0
34,cake,2,2,7.0,20.0
35,cake,2,1,4.0,20.0
35,cake,2,2,4.0,20.0
36,cake,2,1,3.0,20.0
36,cake,2,2,7.0,20.0
37,cake,2,1,2.0,20.0
37,cake,2,2,3.0,20.0
38,cake,2,1,5.0,20.0
38,cake,2,2,5.0,20.0
39,cake,2,1,6.0,20.0
39,cake,2,2,4.0,20.0
40,cake,2,1,6.0,20.0
40,cake,2,2,6.0,20.0
41,cake,2,1,5.0,20.0
41,cake,2,2,6.0,20.0
42,cake,2,1,4.0,20.0
42,cake,2,2,4.0,20.0
43,cake,2,1,1.0,20.0
43,cake,2,2,1.0,20.0
44,cake,2,1,6.0,20.0
44,cake,2,2,1.0,20.0
45,cake,2,1,7.0,20.0
45,cake,2,2,7.0,20.0
46,cake,2,1,6.0,20.0
46,cake,2,2,6.0,20.0
47,cake,2,1,3.0,20.0
47,cake,2,2,3.0,20.0
48,cake,2,1,4.0,20.0
48,cake,2,2,2.0,20.0
49,cake,2,1,6.0,20.0
49,cake,2,2,3.0,20.0
50,cake,2,1,3.0,20.0
50,cake,2,2,4.0,20.0
51,cake,2,1,3.0,20.0
51,cake,2,2,3.0,20.0
52,cake,2,1,1.0,20.0
52,cake,2,2,1.0,20.0
53,cake,2,1,6.0,20.0
53,cake,2,2,3.0,20.0
54,cake,2,1,1.0,20.0
54,cake,2,2,3.0,20.0
55,cake,2,1,6.0,20.0
55,cake,2,2,6.0,20.0
56,cake,2,1,4.0,20.0
56,cake,2,2,3.0,20.0
57,cake,2,1,3.0,20.0
57,cake,2,2,2.0,20.0
58,cake,2,1,6.0,20.0
58,cake,2,2,4.0,20.0
59,cake,2,1,7.0,20.0
59,cake,2,2,7.0,20.0
60,cake,2,1,5.0,20.0
60,cake,2,2,2.0,20.0
61,cake,2,1,6.0,20.0
61,cake,2,2,6.0,20.0
0,cake,3,1,6.0,35.0
0,cake,3,2,3.0,35.0
1,cake,3,1,7.0,35.0
1,cake,3,2,3.0,35.0
2,cake,3,1,6.0,35.0
2,cake,3,2,4.0,35.0
3,cake,3,1,6.0,35.0
3,cake,3,2,4.0,35.0
4,cake,3,1,5.0,35.0
4,cake,3,2,4.0,35.0
5,cake,3,1,5.0,35.0
5,cake,3,2,2.0,35.0
6,cake,3,1,4.0,35.0
6,cake,3,2,3.0,35.0
7,cake,3,1,7.0,35.0
7,cake,3,2,2.0,35.0
8,cake,3,1,4.0,35.0
8,cake,3,2,5.0,35.0
9,cake,3,1,6.0,35.0
9,cake,3,2,5.0,35.0
10,cake,3,1,6.0,35.0
10,cake,3,2,4.0,35.0
11,cake,3,1,6.0,35.0
11,cake,3,2,5.0,35.0
12,cake,3,1,5.0,35.0
12,cake,3,2,1.0,35.0
13,cake,3,1,3.0,35.0
13,cake,3,2,3.0,35.0
14,cake,3,1,1.0,35.0
14,cake,3,2,1.0,35.0
15,cake,3,1,3.0,35.0
15,cake,3,2,5.0,35.0
16,cake,3,1,7.0,35.0
16,cake,3,2,4.0,35.0
17,cake,3,1,4.0,35.0
17,cake,3,2,4.0,35.0
18,cake,3,1,3.0,35.0
18,cake,3,2,2.0,35.0
19,cake,3,1,2.0,35.0
19,cake,3,2,2.0,35.0
20,cake,3,1,6.0,35.0
20,cake,3,2,5.0,35.0
21,cake,3,1,5.0,35.0
21,cake,3,2,3.0,35.0
22,cake,3,1,6.0,35.0
22,cake,3,2,7.0,35.0
23,cake,3,1,6.0,35.0
23,cake,3,2,7.0,35.0
24,cake,3,1,3.0,35.0
24,cake,3,2,4.0,35.0
25,cake,3,1,4.0,35.0
25,cake,3,2,3.0,35.0
26,cake,3,1,2.0,35.0
26,cake,3,2,2.0,35.0
27,cake,3,1,7.0,35.0
27,cake,3,2,2.0,35.0
28,cake,3,1,7.0,35.0
28,cake,3,2,6.0,35.0
29,cake,3,1,5.0,35.0
29,cake,3,2,2.0,35.0
30,cake,3,1,3.0,35.0
30,cake,3,2,6.0,35.0
31,cake,3,1,1.0,35.0
31,cake,3,2,1.0,35.0
32,cake,3,1,3.0,35.0
32,cake,3,2,3.0,35.0
33,cake,3,1,7.0,35.0
33,cake,3,2,6.0,35.0
34,cake,3,1,2.0,35.0
34,cake,3,2,7.0,35.0
35,cake,3,1,3.0,35.0
35,cake,3,2,3.0,35.0
36,cake,3,1,5.0,35.0
36,cake,3,2,7.0,35.0
37,cake,3,1,3.0,35.0
37,cake,3,2,4.0,35.0
38,cake,3,1,5.0,35.0
38,cake,3,2,5.0,35.0
39,cake,3,1,7.0,35.0
39,cake,3,2,6.0,35.0
40,cake,3,1,7.0,35.0
40,cake,3,2,7.0,35.0
41,cake,3,1,6.0,35.0
41,cake,3,2,7.0,35.0
42,cake,3,1,5.0,35.0
42,cake,3,2,5.0,35.0
43,cake,3,1,1.0,35.0
43,cake,3,2,1.0,35.0
44,cake,3,1,5.0,35.0
44,cake,3,2,3.0,35.0
45,cake,3,1,7.0,35.0
45,cake,3,2,6.0,35.0
46,cake,3,1,7.0,35.0
46,cake,3,2,6.0,35.0
47,cake,3,1,4.0,35.0
47,cake,3,2,4.0,35.0
48,cake,3,1,5.0,35.0
48,cake,3,2,2.0,35.0
49,cake,3,1,7.0,35.0
49,cake,3,2,4.0,35.0
50,cake,3,1,5.0,35.0
50,cake,3,2,4.0,35.0
51,cake,3,1,3.0,35.0
51,cake,3,2,3.0,35.0
52,cake,3,1,1.0,35.0
52,cake,3,2,1.0,35.0
53,cake,3,1,6.0,35.0
53,cake,3,2,3.0,35.0
54,cake,3,1,3.0,35.0
54,cake,3,2,1.0,35.0
55,cake,3,1,7.0,35.0
55,cake,3,2,7.0,35.0
56,cake,3,1,5.0,35.0
56,cake,3,2,3.0,35.0
57,cake,3,1,4.0,35.0
57,cake,3,2,3.0,35.0
58,cake,3,1,7.0,35.0
58,cake,3,2,4.0,35.0
59,cake,3,1,6.0,35.0
59,cake,3,2,6.0,35.0
60,cake,3,1,5.0,35.0
60,cake,3,2,2.0,35.0
61,cake,3,1,5.0,35.0
61,cake,3,2,5.0,35.0
0,cake,4,1,7.0,50.0
0,cake,4,2,7.0,50.0
1,cake,4,1,7.0,50.0
1,cake,4,2,4.0,50.0
2,cake,4,1,6.0,50.0
2,cake,4,2,5.0,50.0
3,cake,4,1,7.0,50.0
3,cake,4,2,6.0,50.0
4,cake,4,1,5.0,50.0
4,cake,4,2,4.0,50.0
5,cake,4,1,6.0,50.0
5,cake,4,2,6.0,50.0
6,cake,4,1,5.0,50.0
6,cake,4,2,5.0,50.0
7,cake,4,1,7.0,50.0
7,cake,4,2,3.0,50.0
8,cake,4,1,5.0,50.0
8,cake,4,2,4.0,50.0
9,cake,4,1,6.0,50.0
9,cake,4,2,4.0,50.0
10,cake,4,1,7.0,50.0
10,cake,4,2,4.0,50.0
11,cake,4,1,2.0,50.0
11,cake,4,2,3.0,50.0
12,cake,4,1,6.0,50.0
12,cake,4,2,5.0,50.0
13,cake,4,1,3.0,50.0
13,cake,4,2,3.0,50.0
14,cake,4,1,1.0,50.0
14,cake,4,2,1.0,50.0
15,cake,4,1,5.0,50.0
15,cake,4,2,5.0,50.0
16,cake,4,1,7.0,50.0
16,cake,4,2,4.0,50.0
17,cake,4,1,6.0,50.0
17,cake,4,2,4.0,50.0
18,cake,4,1,3.0,50.0
18,cake,4,2,3.0,50.0
19,cake,4,1,7.0,50.0
19,cake,4,2,3.0,50.0
20,cake,4,1,6.0,50.0
20,cake,4,2,6.0,50.0
21,cake,4,1,5.0,50.0
21,cake,4,2,4.0,50.0
22,cake,4,1,7.0,50.0
22,cake,4,2,7.0,50.0
23,cake,4,1,7.0,50.0
23,cake,4,2,7.0,50.0
24,cake,4,1,5.0,50.0
24,cake,4,2,4.0,50.0
25,cake,4,1,7.0,50.0
25,cake,4,2,1.0,50.0
26,cake,4,1,4.0,50.0
26,cake,4,2,4.0,50.0
27,cake,4,1,7.0,50.0
27,cake,4,2,4.0,50.0
28,cake,4,1,7.0,50.0
28,cake,4,2,7.0,50.0
29,cake,4,1,7.0,50.0
29,cake,4,2,2.0,50.0
30,cake,4,1,6.0,50.0
30,cake,4,2,5.0,50.0
31,cake,4,1,1.0,50.0
31,cake,4,2,1.0,50.0
32,cake,4,1,6.0,50.0
32,cake,4,2,5.0,50.0
33,cake,4,1,7.0,50.0
33,cake,4,2,6.0,50.0
